frame,y,x,area,mean_intensity,zone
15,498.09094564168544,64.78256674171759,12436.0,0.006444745,2
16,486.6395178962746,55.13099586072559,8214.0,0.006602363,2
40,878.6094475035575,154.67210604466993,64652.0,0.008724525,3
41,883.738295349077,165.57935443951737,38788.0,0.0072221407,3
42,829.547564469914,106.64240687679084,3490.0,0.0061893496,3
77,580.0915712799167,34.43975026014568,9610.0,0.00791519,2
83,586.906334371755,24.669989615784008,4815.0,0.006615324,2
85,597.66006006006,16.834834834834833,3330.0,0.006951143,2
112,589.3859053279558,17.60199533007854,4711.0,0.0072008567,2
143,639.622841797931,519.7156580038207,55486.0,0.007869354,1
144,609.4227527111441,531.1476441492697,43063.0,0.007960622,1
145,603.3367070381977,528.9906411450834,23614.0,0.00662295,1
146,651.0327627461808,547.3327811522179,5433.0,0.00592711,1
150,993.9921924456636,146.3933319265668,4739.0,0.0066811354,3
158,463.1854415126985,71.10371995303714,32366.0,0.008058078,2
159,469.3462447344087,74.12401109627042,19466.0,0.006945524,2
176,571.8372813990461,139.335453100159,25160.0,0.0063099847,2
177,546.1556870269694,126.55491596489358,56286.0,0.0073267003,2
178,593.7651067696502,134.43298500681507,6603.0,0.0062552635,2
179,511.0200042225272,84.99751926528027,37892.0,0.0074725123,2
180,491.3313456406905,75.73958503512497,36726.0,0.007706074,2
181,545.1746606334841,110.42202111613877,3315.0,0.0060530314,2
189,904.4529176658672,23.6695443645084,6255.0,0.007607979,3
199,994.8516765285996,153.2437869822485,7605.0,0.0075302646,3
200,552.6908365983741,528.0874915856879,57937.0,0.00816017,1
200,909.8454866688082,17.395117250240926,3113.0,0.006062501,3
200,1001.0616451189808,148.49372306539254,5337.0,0.00726146,3
201,540.0623562617604,529.8492577879991,38264.0,0.0070558996,1
202,484.2491404144597,528.7403587027228,10761.0,0.0064783012,1
202,677.090367428004,561.2479311486263,3021.0,0.0064017163,1
206,48.52385428907168,302.78836662749706,8510.0,0.006316841,4
209,471.5407091267236,46.14445173998687,3046.0,0.006180572,2
231,566.4659188198362,216.302746251619,45553.0,0.006734464,2
233,551.0410856573706,182.0201693227092,4016.0,0.0059803585,2
234,630.1905888538381,237.38617245005256,3804.0,0.006079581,2
236,600.7107257546564,167.40976236351958,7785.0,0.0062400843,2
269,484.20347357940926,70.06408790884619,27119.0,0.007129247,2
270,470.37496411139824,51.05914441573356,3483.0,0.006155988,2
278,902.7192901741704,162.7800525796911,30430.0,0.00695957,3
279,881.3568928262748,171.93379429559204,46280.0,0.007939885,3
280,817.575259377494,237.9267358339984,6265.0,0.0067851073,3
280,833.2197188175919,109.70890410958904,5548.0,0.006615272,3
280,976.3351900393184,131.76146788990826,3052.0,0.006199197,3
321,638.5008478168716,151.08923272573125,4718.0,0.0061703296,2
322,483.2254974207812,128.19675755342666,5428.0,0.006732516,2
322,634.5750715367783,142.98602928799866,11882.0,0.0066497987,2
404,606.6917541229385,181.51636489447583,43355.0,0.0073631797,2
405,576.3410643501729,189.9942649911445,11857.0,0.0061349,2
418,573.7015004788763,32.86442481643078,9397.0,0.0076349713,2
419,588.754212667054,20.389308541545613,5163.0,0.006738318,2
427,621.8602339181286,13.860818713450293,3420.0,0.0062253773,2
433,466.1808692277842,74.23802871556073,25770.0,0.0076768515,2
434,433.85485180673976,100.1764108810394,4926.0,0.006138414,2
436,782.0251188247155,73.14915742474435,34715.0,0.007963081,3
437,771.695094921461,64.80803700491471,10377.0,0.007018596,3
438,801.6493399955253,74.37810425833395,13409.0,0.006594008,3
439,791.5110431324564,68.13019271948608,16345.0,0.0069787744,3
440,791.2001442047708,62.67115303731298,16643.0,0.0071237925,3
441,807.2869752421959,71.13719052744887,18580.0,0.006582043,3
442,784.447268408551,69.06432304038005,21050.0,0.006864208,3
443,803.8601752021564,63.9857367475292,8904.0,0.006177035,3
445,800.2842426887822,66.6026189436927,11455.0,0.006305719,3
446,785.3828685258965,62.363678618857904,15060.0,0.00655792,3
447,783.3617731172545,66.0016682554814,12588.0,0.0064527113,3
448,794.1609836923345,61.35135606523066,11467.0,0.006543918,3
466,580.8935509624768,139.56213962565425,11273.0,0.006707347,2
491,494.3358402394947,67.73126209338834,27391.0,0.007748734,2
492,472.7905198776758,54.14373088685015,3924.0,0.0065460284,2
508,646.7000465766185,527.1744553123222,19323.0,0.0069708074,1
509,596.6130281097459,531.0056219491668,29705.0,0.008218287,1
510,642.6007756232686,537.516565096953,9025.0,0.006447056,1
523,703.6727411103125,491.2527588685468,23651.0,0.0070851045,1
524,727.2538926543323,490.1740245466203,5459.0,0.0063327705,1
548,510.5465808527756,60.82118530437115,18645.0,0.006928384,2
588,891.6217441636118,168.50147919480352,31098.0,0.0074332724,3
589,847.9900813835199,230.751017293998,3932.0,0.006648371,3
600,543.8229432304131,536.4426615402723,25489.0,0.0074310373,1
601,429.3612708018154,534.2456883509834,3305.0,0.006462717,1
621,569.2111013215859,215.0926872246696,5675.0,0.0060574873,2
622,582.7146673415443,186.54412012822675,35562.0,0.0076660607,2
623,591.3680649526387,210.2298150654037,4434.0,0.006243331,2
640,483.1357747628277,526.9750076507191,9803.0,0.0065295883,1
640,648.1981698598798,562.6010866456963,3497.0,0.006333408,1
654,223.4422173504541,184.3398058252427,12772.0,0.0068261176,5
654,308.157675065698,55.40871850363271,6469.0,0.006437552,5
654,418.104971724788,232.0042412818096,8488.0,0.0069083855,5
656,476.1490645745323,68.7531013209951,29826.0,0.007371523,2
657,427.0042246909717,57.6263495540604,6391.0,0.0061485013,2
691,619.3982789413866,31.330410780970936,12318.0,0.0076479046,2
692,565.8279625779626,23.07952182952183,3848.0,0.006550053,2
692,705.3659449345095,22.30633520449078,3741.0,0.0068929153,3
720,531.0514880536538,527.6330515579153,28628.0,0.006956784,1
721,416.42600574712645,531.6161398467433,4176.0,0.0059758048,1
783,883.6600104606418,166.55977509620055,53534.0,0.008088075,3
784,845.6459482652937,214.4578889297536,8157.0,0.0069197533,3
784,905.9792552179154,133.27811964727528,15763.0,0.00638613,3
800,555.493068849429,533.3538847448676,30298.0,0.00688552,1
801,470.2859305720774,530.0825132475397,9247.0,0.0061416207,1
810,611.1892385694058,144.81944000365414,21893.0,0.006770554,2
811,593.9080491039548,143.07862073655932,29407.0,0.006742533,2
819,329.0286634530166,225.4824582261516,46261.0,0.007366877,5
820,299.7591248401864,216.47152225017527,48494.0,0.0071711414,5
821,278.66729038581485,221.2334491668894,11223.0,0.0062956936,5
821,404.0308304326206,255.64346096469416,4022.0,0.006456702,5
825,331.1185538558587,244.96881406718185,25364.0,0.006672759,5
826,307.45082240329566,221.1010511010814,33013.0,0.006951915,5
827,306.2059854014598,222.6155474452555,41100.0,0.007383143,5
828,316.57164787718875,245.1374910050372,20845.0,0.0066964147,5
837,325.39925776464656,233.5101606975571,27754.0,0.006826047,5
838,258.16415094339624,225.99182389937107,6360.0,0.006256551,5
838,400.6045272969374,269.4021304926764,3004.0,0.006260393,5
840,560.2809431869531,537.4822330854865,24343.0,0.0064903116,1
841,462.6023405779795,524.2942440888464,4187.0,0.005988523,1
846,468.19550917897504,79.96104167912456,33446.0,0.008202489,2
847,466.3924798861584,74.20600952328827,18271.0,0.0066365586,2
848,337.2078319656448,202.22960159870743,23519.0,0.0061702062,5
880,526.7123338428049,529.5549071372332,21591.0,0.006545022,1
881,435.1798561151079,526.5997122302158,3475.0,0.006208708,1
884,292.2071047458579,85.20991294580175,7122.0,0.0063121435,5
885,298.90959925442684,66.53543925050278,20387.0,0.0072939945,5
886,290.31584207896054,79.25612193903048,8004.0,0.0064799623,5
895,89.01407528641572,38.68117839607201,9165.0,0.0072620995,5
896,92.47739361702128,26.82712765957447,3760.0,0.0067363447,5
906,448.8535564853556,103.37900976290098,8604.0,0.0065440494,2
907,476.2095210251912,72.80977439945427,20523.0,0.0066209226,2
908,468.5205333333333,98.61066666666666,3750.0,0.0058852714,2
909,397.6041958041958,151.2895104895105,3575.0,0.0063181426,2
920,534.3841903426663,535.8529545173395,24251.0,0.006648102,1
952,59.31931878658861,138.9264236295902,7516.0,0.0062301564,5
957,977.8207870837538,369.3069626639758,14865.0,0.0071884645,5
958,978.2985338725986,369.1794742163802,3956.0,0.0061371205,5
971,962.7726719078728,402.1445022699591,9031.0,0.006512694,5
1024,643.1368444744542,536.7830294845825,22215.0,0.007301966,1
1025,609.3511164260088,530.2788833955058,56027.0,0.008491801,1
1026,613.838701839639,532.8212079139188,28810.0,0.0074496074,1
1027,620.0513404590853,533.6342211319433,11414.0,0.0062591475,1
1070,586.5378645972705,128.83596467754884,3737.0,0.00599483,2
1071,574.581700207503,129.12545700075756,30361.0,0.0068905265,2
1072,554.0647401013323,140.298179771064,5329.0,0.0061995536,2
1075,561.4733846668898,536.4579845999331,5974.0,0.0063027055,1
1076,570.8904193449648,547.52096724824,3267.0,0.0059009637,1
1085,322.81077922077924,76.8851948051948,15400.0,0.0071619884,5
1086,285.3534782049634,84.2067635334962,7777.0,0.0065571405,5
1091,57.31000676132522,306.6071670047329,17748.0,0.006583476,4
1091,503.0314720812183,47.33874788494078,5910.0,0.0061683557,2
1092,58.93285990961911,290.82311168495806,3098.0,0.005966988,4
1092,475.4112893698462,75.7449141128937,42323.0,0.008458494,2
1093,488.3901181241185,63.52203808180536,22688.0,0.006824198,2
1106,605.3313634007258,138.45152928978746,9645.0,0.006263305,2
1112,489.516952884192,75.03390576838397,6813.0,0.0061783683,2
1119,275.6068414038205,494.6865393158596,11255.0,0.006460444,1
1167,495.6896280517778,69.96876945764379,30515.0,0.0077187973,2
1168,505.4308567658943,62.13754432258597,12127.0,0.0064826156,2
1179,252.2227351413733,104.64570109636468,3466.0,0.006196794,5
1180,258.21616110119805,74.99056844251848,3923.0,0.006597954,5
1180,341.09590429845906,74.55920519059205,4932.0,0.006588305,5
1183,478.6177583884006,61.56790915506512,15587.0,0.006291181,2
1192,613.3203841820035,135.00767290872994,18637.0,0.0063916724,2
1193,572.7880456682337,122.22028206850236,7445.0,0.0061750077,2
