frame,y,x,area,mean_intensity,zone
15,498.97899111162417,68.4406672053561,17326.0,0.006258623,6
16,511.9662282838123,69.8610975807761,12318.0,0.0063460525,6
40,875.8556575649259,156.4484374768254,67423.0,0.008518944,5
41,884.0694296143627,165.28323110923495,40271.0,0.0070603266,5
42,830.0906652360514,106.84200643776823,3728.0,0.0060191,5
77,583.6384930704666,34.095256685535816,10246.0,0.0076523037,6
83,613.5373463599118,20.552158840214307,3173.0,0.006567156,6
85,597.3108262108262,17.923646723646723,3510.0,0.006634691,6
112,588.6542199488491,25.22080136402387,5865.0,0.0066510355,6
143,643.798480463097,522.0154214905933,44224.0,0.007531774,2
144,609.1845697836806,527.7862456180352,35087.0,0.0075293886,2
145,614.1838185511172,536.5874746106973,14770.0,0.006218342,2
150,997.116103896104,149.00727272727272,3850.0,0.006227597,5
158,466.6509559515695,70.53273606647839,30807.0,0.0075995983,6
159,472.4623459607485,73.24845960748516,17528.0,0.0064930585,6
176,594.6389505976939,149.0108431185867,18906.0,0.005991176,6
177,561.6003462861902,130.4327700703531,45627.0,0.0070416327,6
178,592.9597640615125,132.8698125131662,4747.0,0.005968351,6
179,514.4412659412659,83.38838188838189,34188.0,0.006998625,6
180,493.95223360471056,74.36314477123202,33287.0,0.0071950974,6
189,899.361335369845,22.63037311804495,4583.0,0.0073529133,5
199,996.5437983907696,154.3192652193715,6587.0,0.007039612,5
200,551.5984783642416,526.7701378982406,52575.0,0.007667643,2
200,1000.7256361017764,146.0667306769083,4166.0,0.0068513285,5
201,542.162863761861,530.7420265938879,31511.0,0.0066262316,2
202,437.6063061090432,526.4981388219838,4567.0,0.005931901,2
202,534.3675447316103,530.6319582504971,4024.0,0.0059821648,2
206,33.23667205169628,318.50767366720515,4952.0,0.006014059,4
231,563.9065584613819,214.1794036837285,39308.0,0.0063465512,6
236,590.8716264204545,161.248046875,5632.0,0.005839828,6
269,487.2158099119536,69.72363412664846,26009.0,0.0067886985,6
278,905.842280498298,162.07279937151625,26731.0,0.006625868,5
279,884.4981618922105,173.4250999976879,43251.0,0.007590047,5
280,825.8978936810431,237.7099297893681,4985.0,0.0064362283,5
280,842.4315400600324,116.54306164858,4331.0,0.006288984,5
321,637.7495990376905,150.66720128307938,4988.0,0.005983185,6
322,487.24846047505343,124.88048259394245,7957.0,0.0062623783,6
322,634.8987295021421,141.00088639385433,13538.0,0.006359085,6
348,590.9619185345866,152.0122921185828,4149.0,0.005629041,6
404,615.6998653846154,179.1578076923077,52000.0,0.0072559286,6
405,570.9095253471102,189.226089764288,15485.0,0.0060849907,6
418,574.1081716637273,33.169704095630024,10206.0,0.007288706,6
419,591.5192660550458,20.041100917431194,5450.0,0.0064626825,6
427,625.5471478463329,14.233993015133876,3436.0,0.0059638238,6
433,460.41827741423,76.10882475318682,26437.0,0.007633742,6
434,431.03818729202976,98.2747583584218,6311.0,0.0060665607,6
436,783.965686403106,77.23279729268869,38119.0,0.007776203,5
437,783.4822700085446,80.82761321560808,14044.0,0.006597495,5
438,815.2504127358491,70.99174528301887,16960.0,0.0063611665,5
439,801.8722627737226,73.71503649635036,20550.0,0.0066063576,5
440,803.0691017219954,74.94336943014379,22532.0,0.006660991,5
441,813.7358145210494,72.04965504294363,21307.0,0.0063836295,5
442,790.6141134984418,70.45866819747417,24388.0,0.0065393895,5
443,807.5326352872102,64.6453664742147,10219.0,0.0059087016,5
444,867.5870165745856,44.87914364640884,4344.0,0.005965321,5
445,802.7829031230083,66.2119184193754,12552.0,0.0060771434,5
446,797.6699306854439,65.82143250082517,18178.0,0.006279628,5
447,785.0681511949507,66.36812991986383,14101.0,0.006260275,5
448,795.8962102308172,61.07150655021834,12824.0,0.006318927,5
466,592.7160462262221,141.10922479034568,19556.0,0.0064928797,6
486,754.7053867755935,74.4226448812867,7834.0,0.0062902,5
486,856.849754406241,39.212366368101705,6922.0,0.0061085946,5
491,483.5955307605064,69.72188333384422,32623.0,0.007930786,6
492,507.9332453172704,60.74882416040928,12119.0,0.0061787665,6
508,652.9348436188989,525.621444897723,34563.0,0.0069122645,2
509,614.0962355668112,523.3180452418767,46594.0,0.007843752,2
510,643.1658721427698,540.6650776188729,16362.0,0.0064960243,2
518,559.7620092125466,552.9208159684141,4559.0,0.00567451,2
523,721.7634501423172,485.81944379636974,42862.0,0.0071655447,2
524,732.5580506770344,497.7783885239308,14918.0,0.00629496,2
548,497.29402158477706,69.92633484805452,28168.0,0.0073135546,6
549,495.9028138688841,66.27670948103051,13469.0,0.006056484,6
587,916.4817166506036,192.59158682465,17639.0,0.006174488,5
588,881.6725538678912,162.2443327030565,48127.0,0.0077227475,5
589,830.5213549337261,101.30927835051548,3395.0,0.0065490184,5
589,867.0887078264861,218.754647693367,8714.0,0.0066592414,5
589,967.1518267929634,171.3320703653586,3695.0,0.0060549127,5
600,543.2203595377372,527.9664954582204,42054.0,0.007394702,2
601,483.9948048656868,527.1535732387227,15784.0,0.0061369226,2
601,670.3651883139739,553.2778951073566,5682.0,0.0063262223,2
621,566.5822385706779,182.71868978805395,17127.0,0.006086106,6
622,592.0513564921414,178.83790169186105,49945.0,0.0076230546,6
623,591.6429451090781,213.35168895144264,11368.0,0.006233063,6
623,704.7746021435531,159.59369925300422,3079.0,0.0057514687,7
640,542.7871107892831,530.7352849901728,29001.0,0.00639381,2
641,423.9812953657175,528.534896705751,3582.0,0.0058614495,2
654,263.68636550370496,148.90615157555197,65723.0,0.0066058384,12
655,96.35136171845032,82.26096407109065,7821.0,0.006138391,8
655,240.027335393392,189.30948419301168,4207.0,0.0065487414,12
655,424.8455262442208,223.3606200707098,3677.0,0.0062010223,13
656,474.4344143541736,71.31210297559345,35892.0,0.0078030103,6
657,469.7839240366568,70.00436126752788,18114.0,0.006327465,6
691,607.3268439007176,39.06281613927773,17002.0,0.00749412,6
692,564.0554011119937,24.697180301826847,5036.0,0.0067457287,6
692,752.0447605829286,28.01064075873236,8646.0,0.006760258,5
720,548.2443116781596,528.3167592618443,35819.0,0.00672039,2
721,480.0254319549602,527.787322849932,10302.0,0.005655663,2
783,884.5014151587906,166.58552438952978,51231.0,0.0075851846,5
784,844.9940327504858,216.39619761310016,7206.0,0.006486078,5
784,838.6999541214253,96.836672274048,6539.0,0.0060421107,5
784,985.3665450463092,135.49705304518665,3563.0,0.0061646053,5
800,559.0299921953394,534.0716170513249,26907.0,0.0064981957,2
801,476.2684814149509,530.9776150338538,7237.0,0.0057498836,2
810,610.7913578958355,142.86681974741677,19162.0,0.0063639167,6
811,595.7865096083574,145.18172047633377,23261.0,0.006461389,6
819,323.1853710287877,228.6688840463356,34876.0,0.006899293,12
820,304.18686747709444,228.58796933948145,33398.0,0.0067723054,12
821,268.06605128205126,229.9636923076923,4875.0,0.005633106,12
825,247.1731577472681,213.6046511627907,3569.0,0.0060565644,12
825,365.3433270676692,262.82706766917295,10640.0,0.006151886,12
826,313.93638309754283,225.6451042442293,21488.0,0.0063741673,12
827,300.32270386978905,215.3300448430493,30105.0,0.006743366,12
828,314.98058966252484,240.3852657892802,13601.0,0.005968563,12
837,280.63220849946515,216.3725566468929,10283.0,0.0065229908,12
837,383.9255605381166,265.7638266068759,6690.0,0.006001365,12
840,558.3582167527718,534.4636326696465,17227.0,0.0060915207,2
846,468.7949268421574,75.43696535323843,30277.0,0.007704657,6
847,461.9449888017917,74.0650195968645,14288.0,0.006206096,6
848,362.5992335067068,116.44730358609362,3653.0,0.00620041,11
880,468.3964590857042,523.7845503391175,11353.0,0.0060502407,2
880,654.38414437641,560.165323880116,3103.0,0.006339711,2
885,301.1433358810042,64.02051854900347,17009.0,0.0068619763,10
886,266.10838807478524,78.64123294593229,3958.0,0.0059406217,10
895,83.9273515857956,30.93033342369206,7378.0,0.0067990893,8
906,452.2064516129032,106.17096774193548,6820.0,0.0060983784,6
907,477.19443034762753,75.05575995940117,15764.0,0.0062491163,6
920,477.2035291064787,534.3222904593028,11561.0,0.0064031817,2
920,648.0967429236138,540.996316401706,5158.0,0.0058926274,2
952,26.45367805478609,125.74946137273008,3249.0,0.005890891,9
957,985.2205255329698,368.3671789786812,10085.0,0.0068246988,1
971,968.94859437751,388.3724230254351,3735.0,0.0061011794,1
1024,638.2827797202797,540.5217438811189,18304.0,0.006801158,2
1025,611.4482005408779,532.6987310172665,48070.0,0.008136781,2
1026,623.6084409475754,535.3510219789617,23386.0,0.007019803,2
1027,594.6049794661191,548.5125770020534,3896.0,0.0060931435,2
1070,586.0813753581662,130.06275071633237,3490.0,0.005707472,6
1071,572.1442877580216,129.6874105865522,29358.0,0.0065914965,6
1072,549.7696259761611,140.1157007809289,4866.0,0.005913408,6
