frame,y,x,area,mean_intensity
427,621.8602339181286,13.860818713450293,3420.0,0.0062253773
433,466.1808692277842,74.23802871556073,25770.0,0.0076768515
434,433.85485180673976,100.17641088103939,4926.0,0.006138414
436,782.0251188247155,73.14915742474435,34715.0,0.007963081
437,771.695094921461,64.80803700491471,10377.0,0.007018596
438,801.6493399955253,74.37810425833395,13409.0,0.006594008
439,791.5110431324564,68.13019271948608,16345.0,0.0069787744
440,791.2001442047708,62.67115303731298,16643.0,0.0071237925
441,807.2869752421959,71.13719052744887,18580.0,0.006582043
442,784.447268408551,69.06432304038005,21050.0,0.006864208
443,803.8601752021564,63.9857367475292,8904.0,0.006177035
445,800.2842426887822,66.6026189436927,11455.0,0.006305719
446,785.3828685258965,62.363678618857904,15060.0,0.00655792
447,783.3617731172545,66.0016682554814,12588.0,0.0064527113
448,794.1609836923345,61.35135606523066,11467.0,0.006543918
466,580.8935509624768,139.56213962565423,11273.0,0.006707347
491,494.3358402394947,67.73126209338834,27391.0,0.007748734
492,472.7905198776758,54.14373088685015,3924.0,0.0065460284
508,646.7000465766185,527.1744553123222,19323.0,0.0069708074
509,596.6130281097459,531.0056219491668,29705.0,0.008218287
510,642.6007756232686,537.516565096953,9025.0,0.006447056
523,703.6727411103125,491.2527588685468,23651.0,0.0070851045
524,727.2538926543323,490.1740245466203,5459.0,0.0063327705
548,510.54658085277555,60.82118530437115,18645.0,0.006928384
588,891.6217441636118,168.50147919480352,31098.0,0.0074332724
589,847.9900813835199,230.75101729399796,3932.0,0.006648371
600,543.8229432304131,536.4426615402723,25489.0,0.0074310373
601,429.3612708018154,534.2456883509834,3305.0,0.006462717
621,569.2111013215859,215.0926872246696,5675.0,0.0060574873
622,582.7146673415443,186.54412012822675,35562.0,0.0076660607
623,591.3680649526387,210.2298150654037,4434.0,0.006243331
640,483.1357747628277,526.9750076507191,9803.0,0.0065295883
640,648.1981698598798,562.6010866456963,3497.0,0.006333408
654,223.44221735045411,184.3398058252427,12772.0,0.0068261176
654,308.15767506569796,55.40871850363271,6469.0,0.006437552
654,418.10497172478796,232.0042412818096,8488.0,0.0069083855
656,476.1490645745323,68.7531013209951,29826.0,0.007371523
657,427.0042246909717,57.6263495540604,6391.0,0.0061485013
691,619.3982789413866,31.330410780970936,12318.0,0.0076479046
692,565.8279625779626,23.07952182952183,3848.0,0.006550053
692,705.3659449345095,22.30633520449078,3741.0,0.0068929153
720,531.0514880536538,527.6330515579153,28628.0,0.006956784
721,416.42600574712645,531.6161398467433,4176.0,0.0059758048
783,883.6600104606418,166.55977509620055,53534.0,0.008088075
784,845.6459482652937,214.45788892975358,8157.0,0.0069197533
784,905.9792552179154,133.27811964727528,15763.0,0.00638613
800,555.493068849429,533.3538847448676,30298.0,0.00688552
801,470.2859305720774,530.0825132475397,9247.0,0.0061416207
810,611.1892385694058,144.81944000365414,21893.0,0.006770554
811,593.9080491039548,143.07862073655932,29407.0,0.006742533
819,329.0286634530166,225.4824582261516,46261.0,0.007366877
820,299.7591248401864,216.47152225017527,48494.0,0.0071711414
821,278.66729038581485,221.23344916688941,11223.0,0.0062956936
821,404.0308304326206,255.64346096469419,4022.0,0.006456702
825,331.1185538558587,244.96881406718182,25364.0,0.006672759
826,307.45082240329566,221.1010511010814,33013.0,0.006951915
827,306.2059854014598,222.6155474452555,41100.0,0.007383143
828,316.57164787718875,245.1374910050372,20845.0,0.0066964147
837,325.39925776464656,233.5101606975571,27754.0,0.006826047
838,258.16415094339624,225.99182389937107,6360.0,0.006256551
838,400.6045272969374,269.4021304926764,3004.0,0.006260393
840,560.2809431869531,537.4822330854865,24343.0,0.0064903116
841,462.6023405779795,524.2942440888464,4187.0,0.005988523
846,468.19550917897504,79.96104167912456,33446.0,0.008202489
847,466.3924798861584,74.20600952328827,18271.0,0.0066365586
848,337.2078319656448,202.22960159870743,23519.0,0.0061702062
880,526.7123338428049,529.5549071372332,21591.0,0.006545022
881,435.1798561151079,526.5997122302158,3475.0,0.006208708
884,292.2071047458579,85.20991294580175,7122.0,0.0063121435
885,298.90959925442684,66.53543925050278,20387.0,0.0072939945
886,290.31584207896054,79.25612193903048,8004.0,0.0064799623
895,89.01407528641572,38.68117839607201,9165.0,0.0072620995
896,92.47739361702128,26.82712765957447,3760.0,0.0067363447
906,448.8535564853556,103.37900976290098,8604.0,0.0065440494
907,476.20952102519124,72.80977439945427,20523.0,0.0066209226
908,468.52053333333333,98.61066666666666,3750.0,0.0058852714
909,397.6041958041958,151.2895104895105,3575.0,0.0063181426
920,534.3841903426663,535.8529545173395,24251.0,0.006648102
952,59.31931878658861,138.9264236295902,7516.0,0.0062301564
957,977.8207870837538,369.3069626639758,14865.0,0.0071884645
958,978.2985338725986,369.1794742163802,3956.0,0.0061371205
971,962.7726719078729,402.14450226995905,9031.0,0.006512694
1024,643.1368444744542,536.7830294845825,22215.0,0.007301966
1025,609.3511164260088,530.2788833955058,56027.0,0.008491801
1026,613.838701839639,532.8212079139188,28810.0,0.0074496074
1027,620.0513404590853,533.6342211319433,11414.0,0.0062591475
1070,586.5378645972705,128.83596467754884,3737.0,0.00599483
1071,574.581700207503,129.12545700075756,30361.0,0.0068905265
1072,554.0647401013323,140.29817977106399,5329.0,0.0061995536
1075,561.4733846668898,536.4579845999331,5974.0,0.0063027055
1076,570.8904193449648,547.52096724824,3267.0,0.0059009637
1085,322.81077922077924,76.8851948051948,15400.0,0.0071619884
1086,285.3534782049634,84.2067635334962,7777.0,0.0065571405
1091,57.31000676132522,306.6071670047329,17748.0,0.006583476
1091,503.0314720812183,47.33874788494078,5910.0,0.0061683557
1092,58.93285990961911,290.82311168495806,3098.0,0.005966988
1092,475.4112893698462,75.7449141128937,42323.0,0.008458494
1093,488.3901181241185,63.52203808180536,22688.0,0.006824198
1106,605.3313634007258,138.45152928978746,9645.0,0.006263305
1112,489.516952884192,75.03390576838397,6813.0,0.0061783683
1119,275.6068414038205,494.6865393158596,11255.0,0.006460444
1167,495.6896280517778,69.96876945764379,30515.0,0.0077187973
1168,505.4308567658943,62.13754432258597,12127.0,0.0064826156
1179,252.22273514137333,104.64570109636469,3466.0,0.006196794
1180,258.21616110119805,74.99056844251848,3923.0,0.006597954
1180,341.09590429845906,74.55920519059205,4932.0,0.006588305
1183,478.6177583884006,61.56790915506512,15587.0,0.006291181
1192,613.3203841820035,135.00767290872994,18637.0,0.0063916724
1193,572.7880456682337,122.22028206850236,7445.0,0.0061750077
