frame,y,x,area,mean_intensity
15,498.09094564168544,64.78256674171759,12436.0,0.006444745
16,486.63951789627464,55.13099586072559,8214.0,0.006602363
40,878.6094475035575,154.67210604466993,64652.0,0.008724525
41,883.738295349077,165.57935443951737,38788.0,0.0072221407
42,829.547564469914,106.64240687679083,3490.0,0.0061893496
77,580.0915712799167,34.43975026014568,9610.0,0.00791519
83,586.906334371755,24.669989615784008,4815.0,0.006615324
85,597.66006006006,16.834834834834833,3330.0,0.006951143
112,589.3859053279558,17.60199533007854,4711.0,0.0072008567
143,639.622841797931,519.7156580038207,55486.0,0.007869354
144,609.4227527111441,531.1476441492697,43063.0,0.007960622
145,603.3367070381977,528.9906411450834,23614.0,0.00662295
146,651.0327627461808,547.3327811522179,5433.0,0.00592711
150,993.9921924456636,146.3933319265668,4739.0,0.0066811354
158,463.1854415126985,71.10371995303714,32366.0,0.008058078
159,469.3462447344087,74.12401109627042,19466.0,0.006945524
176,571.8372813990461,139.335453100159,25160.0,0.0063099847
177,546.1556870269694,126.55491596489358,56286.0,0.0073267003
178,593.7651067696502,134.43298500681507,6603.0,0.0062552635
179,511.0200042225272,84.99751926528027,37892.0,0.0074725123
180,491.33134564069053,75.73958503512497,36726.0,0.007706074
181,545.1746606334841,110.42202111613877,3315.0,0.0060530314
189,904.4529176658673,23.669544364508393,6255.0,0.007607979
199,994.8516765285996,153.2437869822485,7605.0,0.0075302646
200,552.6908365983741,528.0874915856879,57937.0,0.00816017
200,909.8454866688082,17.395117250240926,3113.0,0.006062501
200,1001.0616451189807,148.49372306539254,5337.0,0.00726146
201,540.0623562617604,529.8492577879991,38264.0,0.0070558996
202,484.24914041445965,528.7403587027228,10761.0,0.0064783012
202,677.090367428004,561.2479311486263,3021.0,0.0064017163
206,48.52385428907168,302.78836662749706,8510.0,0.006316841
209,471.5407091267236,46.14445173998687,3046.0,0.006180572
231,566.4659188198362,216.302746251619,45553.0,0.006734464
233,551.0410856573706,182.02016932270917,4016.0,0.0059803585
234,630.1905888538381,237.38617245005258,3804.0,0.006079581
236,600.7107257546564,167.40976236351958,7785.0,0.0062400843
269,484.20347357940926,70.06408790884619,27119.0,0.007129247
270,470.37496411139824,51.05914441573356,3483.0,0.006155988
278,902.7192901741703,162.7800525796911,30430.0,0.00695957
279,881.3568928262748,171.93379429559204,46280.0,0.007939885
280,817.575259377494,237.9267358339984,6265.0,0.0067851073
280,833.2197188175919,109.70890410958904,5548.0,0.006615272
280,976.3351900393185,131.76146788990826,3052.0,0.006199197
321,638.5008478168716,151.08923272573125,4718.0,0.0061703296
322,483.22549742078115,128.19675755342666,5428.0,0.006732516
322,634.5750715367783,142.98602928799866,11882.0,0.0066497987
404,606.6917541229385,181.51636489447583,43355.0,0.0073631797
405,576.3410643501729,189.99426499114446,11857.0,0.0061349
418,573.7015004788763,32.86442481643078,9397.0,0.0076349713
419,588.754212667054,20.389308541545613,5163.0,0.006738318
