frame,joint_label,centroid_y,centroid_x,area
1,0,583.7261661606403,167.48418437758764,36230
1,1,822.2070244919229,715.8916935904117,47975
2,2,735.0915741313753,542.7125465153673,370039
3,2,702.4719632735279,558.1554957802526,405593
4,2,739.1771750991403,574.9797061719852,225438
5,3,577.6242358863718,141.08126573175116,5562
5,2,740.9574113475177,682.080390070922,56400
6,2,750.7401139699534,677.7157658435503,5791
10,4,74.80069188706618,82.37931034482759,8961
11,4,98.55384069540536,104.87635266985986,5637
12,4,68.20374951178232,70.76448379117302,7681
13,4,90.96792763157895,94.34923245614036,7296
19,5,527.9633277356692,634.4639858394227,66099
20,6,410.3783758384531,672.0926380584303,85127
21,6,471.2929060652324,693.1353036804094,262661
22,6,422.25583899616305,685.1740392081296,176443
23,6,406.4863644944823,628.7560368647777,58267
24,6,456.52420397607887,618.4157103604332,24748
26,7,512.3192894557048,620.5356410840355,4391
26,8,591.2857097447526,133.69319446063213,94379
26,9,945.3833437305053,220.3243917654398,6412
27,8,534.6099032491609,126.63109629012088,45581
28,8,583.5488505747127,167.40886699507388,4872
64,10,727.6568041391401,554.2806426784683,467730
65,10,743.5000676158123,577.0347139580674,369736
66,11,56.83150281275114,365.8266809536566,11199
66,10,768.3729814383437,571.9874663265256,203053
67,12,637.0698344132469,221.4434845212383,4167
67,10,748.9773633717797,567.2136928502133,64939
68,10,747.8276357827476,604.2838658146965,6260
97,13,137.60827004960274,633.1283525745139,22781
98,13,196.70735717221538,686.7464036169338,4866
107,14,904.0131246845028,175.46456335184251,19810
108,14,917.0321952337305,208.1134280476627,17456
109,14,893.47368845193,150.94834394391168,12409
110,14,869.184043517679,184.4444696282865,4412
130,15,585.9303073325539,104.33138466677802,47896
131,15,636.5560364816819,109.0570412737672,12938
164,16,457.53535964079094,162.8955185217166,11581
164,17,870.7183995045758,107.47027454758137,29066
165,16,435.2204991645781,165.73031537176274,19152
165,17,872.9376115561828,91.45672657839027,24091
166,17,852.0072686847956,100.71198905421583,11694
167,17,868.193187435402,107.23902395182672,22253
168,18,618.9216732042357,152.13954738316357,193497
169,18,581.072782488368,153.67413189446214,215354
170,18,632.8236606582369,194.1742623979912,278775
171,18,580.8605717263744,193.72224688593784,310848
172,18,632.8388368690563,193.83426115581565,273400
173,18,690.0737396739391,163.92349248844067,187511
174,18,735.6542119202944,144.69617114314664,112514
175,18,764.0210128518072,131.17032320677586,68006
176,19,879.81010441226,109.73300774671607,29690
