frame,track_id,y,x,area,mean_intensity,zone
15,2,489.86379386611617,69.88727514007667,27128,0.007293701171875,4
16,2,497.2545495819303,70.7587681132004,26431,0.0073585510253906,4
17,2,471.8800947867298,47.746287519747234,6330,0.0067710876464843,4
23,3,1005.5092194222495,81.63153042409343,3254,0.0071830749511718,24
40,5,874.6695981370419,155.0183563818023,76867,0.0097198486328125,20
41,5,877.799821550412,159.65695690967303,57159,0.0080337524414062,20
42,5,874.3154937624988,182.76559375297592,21002,0.0069808959960937,20
45,7,385.8769682412597,156.99092607419269,3747,0.0066947937011718,17
77,11,597.1931155602389,35.61222339304531,14235,0.0087890625,22
78,11,577.8530771101922,17.779858915105812,4111,0.0077857971191406,22
83,11,591.6715359523472,26.052758473975324,7051,0.0079269409179687,22
85,11,590.8737554250702,27.93617564462599,7834,0.007843017578125,22
86,11,548.8464437117287,23.830193122939235,4246,0.0072479248046875,22
112,15,620.1477419911924,30.73586046110008,11581,0.0078048706054687,23
113,15,625.2532098505578,25.015575668280363,4751,0.0070991516113281,23
143,16,642.6805595886784,516.145482807509,58543,0.008270263671875,13
144,16,613.8153488372093,527.8796046511628,43000,0.0084762573242187,13
145,16,602.0860924220963,529.2658463172804,22592,0.0071640014648437,13
146,16,645.736346060899,544.0275495408409,4138,0.0064582824707031,13
146,17,58.6492628992629,117.9321253071253,6512,0.0067253112792968,15
149,18,988.7993709278812,150.5749269827005,4451,0.0067901611328125,5
150,18,984.9162977867204,117.22444668008048,9940,0.0072059631347656,5
158,20,466.2482752979031,69.84762631909034,36673,0.0089035034179687,4
159,20,472.1585436611546,69.73625616478097,27576,0.0072555541992187,4
160,20,446.7732085315329,63.877090685898416,6517,0.0070228576660156,4
176,21,561.7063949591098,138.59750636814587,37295,0.006927490234375,25
177,21,554.1425346155495,128.71478787705587,69983,0.0078811645507812,25
178,21,557.1264872780523,133.2161815852096,16389,0.0069847106933593,25
179,21,510.50457477469234,88.6181664303033,43718,0.0081939697265625,25
180,21,496.8841312843135,81.12979789503967,41711,0.0084304809570312,25
181,21,498.30212689688136,69.78163460389533,16738,0.0070457458496093,25
189,26,905.1750750321568,23.06188366442761,6997,0.00848388671875,26
199,27,982.3827130658932,112.3372804897696,12414,0.0080490112304687,27
200,27,964.7423538690736,114.64656909999124,11411,0.0076484680175781,27
200,28,551.8508907007277,527.1578298996644,61693,0.0086441040039062,11
