frame,joint_label,centroid_y,centroid_x,area
16,0,494.4848199132567,81.76089006222892,37121
17,0,498.32941404841796,79.97318432655777,36061
18,0,489.6125476047304,65.70064141110443,9978
24,1,999.1924636298593,88.85785833532077,4193
41,2,866.9789432568709,164.01023838269063,84486
42,2,866.0461179305671,173.50805030499285,66395
43,2,867.1477814569537,187.32337748344372,30200
44,2,855.4233624814387,232.21795083319583,6061
46,3,412.0438936457864,153.45831455610636,11095
78,4,577.577866106918,77.49519896386941,22391
84,5,590.7932065542399,32.304748235856955,8361
86,6,580.2409731608419,23.346785093647423,5179
87,6,537.8458124276341,29.198957931300654,5182
113,7,609.4880694143167,44.91220458956502,17518
114,7,573.391882900865,36.13972055888224,4509
144,8,617.5281911687138,514.7245120940396,106168
145,8,606.5691717722821,527.461797325701,89444
146,8,616.3501687810965,528.929687874958,62507
147,8,626.217939334797,551.6905342766529,24594
150,9,985.4035000825492,136.67178471190357,6057
151,9,968.8533186028725,173.46502931928273,11767
159,10,468.53524341952016,81.25658047985092,42930
160,10,474.2017083926525,80.87548178756207,28799
161,10,456.683231913455,79.90196078431373,11832
173,11,687.4591428147709,501.87201542340205,6743
174,11,592.350335852225,541.3862300587741,4764
177,12,558.3604875283447,155.73643235071808,52920
178,12,557.3454478931642,142.3837063235563,81995
179,12,559.7739765599208,142.8981924727633,24232
180,12,507.2887020593236,102.57829208388438,52930
181,12,494.95660928873014,91.23760961351088,46185
182,12,503.7726852838769,83.1688339373268,14073
190,13,909.7316409791478,29.709364072011397,7721
200,14,993.052936996684,159.8882046423496,8444
201,15,547.4734920193438,521.209677274644,111457
201,14,978.6269135291684,169.75517170045512,9668
202,15,518.9651040471273,523.5807225919975,104568
203,15,557.8863705046842,541.3324833786643,52944
204,15,462.6603617665963,523.4163070425121,21782
206,16,79.81062399393997,271.81895653820663,10561
207,16,65.8325627328635,299.56502222022715,22277
209,17,113.18209481101857,305.0070467648943,6244
210,18,521.9525454801861,80.85058524890707,14182
211,18,501.6448858475141,74.08466057045963,16513
213,19,425.89662082156843,109.65142544858367,10979
231,20,586.7067691075265,229.1190692932309,27463
232,20,548.584419577655,249.28851454487554,91063
233,20,528.2656855763905,281.35058153334916,12639
234,20,526.7779135187269,249.06539141617102,31105
235,20,602.4621030927835,215.32503092783506,12125
237,21,556.1502290604201,216.7352695421673,34707
240,22,567.2293379489398,191.44911293812203,23110
241,23,55.20160086826753,294.81698548365216,7371
261,24,66.00514201762978,351.1897649363369,4084
269,25,513.8028096330276,70.72190366972477,17440
270,25,488.74008934269307,81.29860880663689,39175
271,25,454.3214885752688,75.83921370967742,11904
273,26,413.5119620824556,112.31409870598857,13292
279,27,893.7269159693528,168.3499512053321,48161
280,27,866.9089203114454,175.08258572157567,60749
281,27,859.5676966137972,184.62093189177324,36442
284,28,118.95210792580102,336.47487352445194,8895
285,28,62.931960413331396,345.4890845582885,13742
322,29,617.2434545040601,145.5765348713668,26354
323,29,565.85198230989,134.97088176588,51102
324,29,573.6233435270133,149.2577302072715,11772
326,30,101.8118662841887,346.45241273538016,35209
327,30,54.77908415841584,336.8545792079208,8080
348,31,988.9786148238153,143.21409477521263,4115
349,32,601.2802244582043,150.374613003096,25840
350,32,586.8361406932836,144.1787941787942,23569
356,33,301.2703301127214,36.72805958132045,4968
359,34,58.13725814453448,289.0795435753266,6047
377,35,865.4674463937622,322.9224171539961,5130
378,36,47.33256985799359,313.6120018323408,4366
379,36,51.350161320933765,349.5084456253559,5269
404,37,652.8908373520386,178.20229918651663,20529
404,38,919.4405057575074,406.5926845789117,4429
405,39,68.7372573916198,350.89089424995467,11026
405,37,642.0462330235882,223.85926137717416,104925
406,37,582.7949606299212,196.72530933633297,44450
407,37,593.6687641764835,219.08458330284628,13667
419,40,587.9897724253963,47.91136102010095,22586
420,40,559.0630623125625,36.12312562479173,12004
428,41,609.532218538273,24.46677237999135,6937
434,42,456.09198167239407,81.46572164948454,34920
435,42,452.9516322357752,85.03363181273356,14183
437,43,754.7254641909815,88.70013449396644,53534
438,43,793.5561026289638,101.75575932785256,22138
439,43,814.2893887623386,86.90257213363705,21072
440,43,800.35266915099,79.74713779014951,22273
441,43,801.9538318208481,80.13546806528416,28981
442,43,809.7545448064448,75.61410137591787,28054
443,43,785.0828809782298,96.71841609050911,35002
444,43,799.0429740791269,57.774897680763985,7330
446,44,799.192711508501,73.4612883560252,14763
447,44,798.7347837237135,72.71734484527269,23396
448,44,792.5026129726407,106.65053796495543,16265
449,44,801.6830119133812,67.05943526624104,15193
467,45,575.2380520764667,139.8917270929466,48544
468,45,579.9111708628698,133.62664385235882,20455
487,46,797.0122993719469,80.74494068387997,34392
491,47,563.8427622307228,89.13992349506745,4967
492,47,487.878639414672,91.52228433298082,46333
493,47,485.73820695695696,78.14035910910911,31968
494,47,538.4732059334492,79.14887077375384,7483
507,48,848.6335494175122,497.56595264937994,21288
508,48,820.2619135121892,537.2322675486953,8163
509,49,648.8535417400858,514.6727025850453,96478
510,49,618.0289377289378,527.9386681694374,106470
511,49,634.9956699978597,533.653649220435,60739
512,49,636.2158087443463,541.1530722131627,32501
513,50,500.5302275960171,499.7695590327169,5624
513,49,700.4219496986074,556.0503013926418,4811
519,51,517.2400385714777,533.8401694389917,29037
520,51,545.0770081431588,522.4030360912838,9947
524,52,704.4094534599625,498.779729819658,105189
525,52,684.5935373451085,509.37569658382967,73035
526,52,711.7259525247068,501.49645683053166,31469
527,52,721.8065387141502,489.28504706998467,13703
549,53,481.87255773658893,87.08141258007888,43863
550,53,494.93635803070134,82.12238340959985,30813
551,54,87.21723593451343,436.2427491066235,12033
551,53,497.5090526315789,59.153473684210525,4750
552,54,55.98826672862454,404.6610130111524,8608
572,55,772.2743816906608,495.974861572536,27090
573,56,74.84544025157233,263.98506289308176,6360
573,55,823.5614090265765,488.4434659537663,6359
588,57,892.4396230270215,171.28548807273842,39154
589,57,867.5316622325685,173.0533338875956,72168
590,57,882.6739347048825,183.43151046245825,34122
591,57,884.509838681085,209.68923949654317,11282
601,58,512.5433613338308,518.2560179834181,109879
602,58,514.1917225446555,530.4655998196878,70988
603,58,502.17731311489194,535.0215825321636,35677
604,58,568.0322730169767,524.7095428472102,17259
607,59,69.4317235268055,310.9251218431546,11285
608,59,90.83832893306415,365.8560335455816,6439
621,60,465.64606361380555,188.11363636363637,17732
621,61,529.1623405191377,366.4905411350638,4546
622,62,588.276937538818,195.8783173585349,59573
623,62,597.874057415002,190.3556907880231,90708
623,63,865.3173604060913,399.0728934010152,4925
624,62,575.9048005587753,210.0251071300474,52973
625,62,546.8472991028822,237.98377552968122,10478
640,64,577.9124032414127,536.9970367682632,33072
641,64,542.5757475571229,530.7624439791346,108888
642,64,524.2632916569291,532.3038531198878,68464
643,64,539.7741710614051,534.4604170455234,32994
655,65,271.1618342362945,157.48028459158022,110193
656,65,266.77156543995574,178.07579897620366,57824
657,66,72.26319845857418,82.2121387283237,5190
657,67,437.6680491018795,122.53196476870795,72095
658,67,453.5625580544375,79.19219185408281,35527
659,67,473.5019122609674,59.93138357705287,4445
681,68,99.28097826086956,307.5495018115942,22080
682,68,35.458612626656276,377.18768511301636,6415
692,69,607.3089742565822,54.93110241461012,37563
693,69,658.1117083430709,48.22929812261432,25674
720,70,650.5731260085081,547.4635470148158,6817
721,71,503.63576655850164,529.8279786788279,102621
722,71,550.0810653833389,529.3123464985065,60260
723,71,538.163923079238,537.2954046164494,33229
724,71,452.9409233997901,518.0585519412382,9530
763,72,55.923446412488744,314.8808165716001,9993
784,73,865.1424701914651,175.23765833709535,75314
785,73,875.9761827003825,170.6172203041896,42868
786,73,829.0759416767922,223.85191373025518,6584
801,74,543.2049493176285,521.077580836967,88295
802,74,543.0322110125197,529.101388720068,65816
803,74,526.1818705588631,534.5124831956981,31242
804,74,496.4655172413793,531.3328962894979,15254
811,75,591.7089323211113,152.1777464983732,43337
812,75,584.2615036103639,142.69849922129407,56504
813,75,570.4609690797417,147.88330096068034,19049
820,76,343.5307137527978,239.94510762939015,72378
821,76,306.2224935821828,234.82103656421287,72065
822,76,306.69694072657745,247.62014021669853,25104
826,77,335.8458723653396,251.6034543325527,34160
827,77,321.9674059523538,232.3753911514127,43781
828,77,310.42598447324974,236.16861629254927,56934
829,77,320.97198855259734,249.1819009626225,23062
838,78,323.4816138667189,238.19025118738676,40846
839,78,305.7027288679131,231.6481515096509,16527
841,79,538.6501081871014,522.0999286304985,88273
842,79,522.1939791169139,536.9559328533826,57367
842,80,404.62132661628885,114.41225860621327,7146
843,79,466.83534703236614,531.3685510186083,11339
847,81,468.83869859652566,83.72016390224752,40756
848,81,468.8062021081412,71.76997517717739,27797
849,82,368.21339554889875,197.41722833496553,52077
850,82,299.64962019899434,238.38846688777147,9347
864,83,120.2752363359774,303.6119743561882,9203
865,83,58.523197242841995,334.10869565217394,7544
878,84,393.8208428482458,158.90554286900561,4817
881,85,527.5884243988719,528.658707395191,83676
882,85,560.9856393384315,541.822825893651,44984
883,85,533.8011764705882,540.11081232493,17850
885,86,326.0481008592307,83.20766080462539,12453
886,86,313.21470652411085,75.25383664266492,27498
887,86,299.5020677518698,80.47276726792785,11365
896,87,89.87700145560407,32.834643377001456,6870
907,88,454.1078276810266,82.01004582951421,27275
