frame,joint_label,centroid_y,centroid_x,area
436,0,316.9233259499063,565.0843414551031,5869
502,1,718.8411971830986,368.4568075117371,8520
503,1,694.161205421766,406.1717331227793,7599
505,2,703.2990361445783,368.58843373493977,4150
506,2,711.0765999505807,378.0513960958735,4047
529,3,694.4036728447543,553.1069545995579,5881
530,3,676.9597924773022,546.8286640726329,7710
531,3,646.3618541590326,563.9034444851594,5458
533,4,692.5449545671927,562.5887135341942,4182
539,5,731.4240379810095,392.7056471764118,4002
771,6,700.1043843996941,386.9101452969666,7846
823,7,769.6919690660321,201.20678167757288,8405
824,7,779.1999481663859,179.75871452637034,7717
825,7,769.65749235474,205.64434250764526,6540
979,8,400.75146037016543,324.643731168911,16263
980,8,408.8424421467258,252.6333497456097,6093
981,8,406.2696611505122,262.9817178881009,6345
