frame,joint_label,centroid_y,centroid_x,area
40,0,726.0608220479924,357.36920883820386,4209
44,1,596.0641741870792,617.3211574273026,6981
48,2,661.9352286773794,509.8983930778739,4045
49,2,718.751660341556,530.2469165085389,4216
106,3,733.9248496993988,424.2098196392786,4990
108,4,864.0247221492955,523.6656602782882,22854
109,4,941.6997444633731,600.7492901760363,7044
110,4,916.6647186508599,580.2861913508099,17967
162,5,851.3551682692307,672.9106570512821,4992
172,6,910.8917958118092,233.23057268233072,18003
173,6,898.6063789632612,223.1673376950176,15896
174,6,901.5726829268293,217.05582655826558,18450
175,6,857.6979038224414,242.61705125946804,5677
176,6,889.8380952380952,203.96796536796538,6930
190,7,668.1790023410769,501.57842607599497,5553
245,8,739.9701093560146,351.4464155528554,4115
248,9,734.0038540013602,334.3638630695987,4411
249,10,696.2056712132089,550.1669059583633,5572
368,11,650.6357507373941,710.5076548527553,21359
369,11,633.1670463661159,693.1317824482593,31165
370,11,615.9869123471672,709.8346392285173,23228
371,11,614.3265435222672,750.3111082995952,7904
372,11,642.6047173647825,726.1756811712078,9836
373,11,616.8367579908676,679.3352902804958,6132
392,12,279.47242647058823,916.8586856617648,4352
414,13,396.6036846615253,289.6845758354756,11670
415,13,381.5487307481585,282.2587812747306,16427
416,13,368.0277112555594,277.79267875470407,14615
417,13,373.54796189632253,255.66459902525477,9028
418,13,370.7195258540228,241.75135336942319,10714
419,13,370.8139094182301,236.28501042258858,5277
420,13,363.0266052318668,268.53968489892986,6728
479,14,749.1945961575532,758.4683544303797,31126
480,14,748.1760259942079,763.127922582468,28314
481,14,735.4013886972916,758.1558375867936,21747
482,14,737.4322747224373,754.1593596695069,19365
483,14,768.0399338113624,733.4036403750689,9065
485,15,776.9731092436974,742.1478991596639,5950
487,16,761.383606557377,724.5093676814988,4270
492,17,571.7701450795315,981.3144555147701,5721
493,17,588.1298633017876,972.1901507185419,5706
728,18,229.49915233712764,771.9135383870187,4129
774,19,730.6264283621448,364.88441254028714,6826
775,20,661.144119646499,511.11012916383413,4413
777,21,721.1936587591241,346.20050182481754,4384
809,22,676.5842367192623,854.6949577562594,25921
810,22,673.1435581824097,869.6792376098037,36884
811,22,669.0126291618828,861.0360405331204,40066
812,22,678.8342174600386,881.6915158967153,28465
813,22,680.1354501607717,870.3695337620579,24880
814,22,666.6007194244604,869.4849574885546,21406
815,22,685.7694632065411,855.5681656594384,11252
816,22,694.1406032482598,899.9583913379737,6465
817,22,671.0384202618587,912.2133505044001,4659
837,23,622.4437526835552,908.618935165307,4658
838,23,645.8033763080302,866.0524368387581,17297
839,23,634.1320408697931,879.7097196751375,7634
840,23,678.1519369055903,903.7573648805381,4311
877,24,677.8305279265494,882.5242922723795,5228
878,24,657.5608228980323,887.2203935599284,5590
879,24,671.5224674812771,898.4387071344107,5074
909,25,680.266682303272,889.5915327782338,8527
910,25,707.2937830687831,899.7376984126984,7560
911,25,667.4939059779455,874.3179048171793,6892
959,26,573.9776006892096,801.0075382295929,4643
1018,27,689.8533583646224,531.2711722987067,4794
1125,28,968.8118254702435,400.08842121492444,12972
1126,28,968.1072734946539,429.40074563871696,14216
1127,28,964.7220066768925,416.2284579987368,11083
1128,28,970.1117936117936,420.7962921599285,8954
1129,28,965.8533555521891,420.5487047417058,6601
1141,29,864.3520497687032,256.24182485244853,6269
1147,30,898.8165181413112,214.45432845321452,6284
