frame,joint_label,centroid_y,centroid_x,area
1,0,614.0444549403206,480.0189896885373,226544
2,0,653.0501217846735,488.66984386219326,71027
3,1,767.8751629143135,517.8635097493036,39131
4,1,758.7050022103581,565.762573536913,58814
5,2,554.8767345213778,453.1563710643094,14197
5,1,818.099300087489,647.6466899970837,6858
6,1,812.9760940561724,654.8381450032658,7655
7,1,850.2533726812816,662.6711635750422,4744
8,3,980.2398736933798,429.1962108013937,9184
9,3,967.2589826288689,402.7635375997284,17673
10,4,125.39556515239597,521.0673532098663,12041
10,3,968.7492564570832,462.53368118966864,38330
11,4,126.44473551174227,518.5066409301899,21759
11,3,962.9747624876144,509.7281187464786,51471
12,4,132.54074913644214,528.6557102763385,18528
12,3,959.7256540697674,511.39635345417236,46784
13,4,124.66284281698701,520.1854440477094,13163
13,3,978.4285076293264,500.73219203572756,26870
14,4,107.83075335397317,484.75679394564844,5814
14,3,975.344126731095,392.8325196771944,10037
15,3,979.8830534947286,415.89222959781335,5122
27,5,341.87963420662385,327.66707859614434,4046
27,6,902.4787165970931,675.4159785490112,32819
28,6,906.123332576028,677.8883191068124,30811
29,6,896.8966534316506,663.5020986954056,17630
35,7,782.6433165762958,527.2179219809892,91106
36,7,776.0627188453276,529.3716720673242,84249
37,7,683.568709089544,489.2068132333167,146509
38,7,627.1025121934507,479.497274771548,160537
39,7,629.3964048083441,495.1252991382053,144582
40,7,650.1039276034728,533.346979649961,108845
41,8,428.749089515047,453.3287329883075,31302
41,9,860.321550865609,600.3231743086725,73301
42,8,442.58622886263606,477.2893791985175,17268
42,9,862.4900053154648,596.5537586778989,62083
43,9,919.4728203836628,532.2252864878478,47646
44,9,927.0769121085953,507.8453487708892,35066
45,9,985.713724149718,424.9529994872671,5851
46,9,986.0349901896665,438.31213211249184,6116
49,10,379.68190356919223,592.6245042788562,4791
50,10,359.44155474618714,537.1354427498293,17572
51,10,370.8784480536221,593.3824439288477,7758
67,11,976.083163473298,607.7580513656746,4906
68,11,905.7370111196319,652.5480572597137,62592
69,11,913.0443948504187,652.1426279095504,54218
70,11,919.1101005127017,644.1745502998001,34523
71,11,951.7671798631476,549.8356304985338,40920
72,11,942.1825609085913,546.8717347499542,27295
73,12,984.4086319540685,416.070283112255,5051
94,13,723.5091310455549,576.01786072647,4983
95,13,747.1485027000491,555.5488463426608,4074
95,14,988.5155748233783,419.99775208734746,6228
96,13,736.8617626964245,568.6467774994306,4391
96,14,978.4915717539864,412.7380410022779,10975
97,13,741.5149847094801,542.5904179408767,4905
97,14,980.4582532464489,513.4915850171112,21331
98,15,899.1653065437281,607.9907933668203,72665
99,15,893.2832711551201,625.9094696837627,57362
100,15,916.157634994392,633.3481493350424,31205
101,15,861.0454248858103,637.0250966219946,19923
112,16,571.8310952580781,487.16512798992864,4766
113,17,900.7161099891254,682.7963336958211,32185
114,17,911.0708222253403,672.0996211589729,28508
115,17,912.8388059701492,664.3168892380204,12730
120,18,799.7712343764255,545.6614512057902,65766
121,18,765.4925979897001,508.85103247280136,120778
122,18,782.1510486035186,515.1673094125832,100610
123,18,807.8136198912824,510.82012532715925,79472
124,18,817.5453358870682,494.02634603107043,70485
125,18,823.4794891475843,470.131231077566,46902
126,18,793.249214291102,496.00495310889295,39773
127,18,746.0496604414261,480.3933220147142,21204
128,18,753.8753000988561,470.30377065386244,14162
129,18,747.8454693756488,459.2108853625983,6743
132,19,984.838840957187,611.7751912746215,6143
133,19,964.772247598047,613.45203969129,19047
134,19,910.0105140439128,650.146959131242,46319
135,19,918.2601233064394,645.2226366265794,26276
136,19,916.7447823976703,621.1157579679664,12362
140,20,166.3866037735849,580.0641509433963,37100
141,20,171.87743009836572,574.346371311285,25822
142,20,175.56993428992894,572.0863618076975,22371
143,20,147.98433318946914,572.8354337505394,23170
147,21,850.3475092284639,526.967830123168,136805
148,21,826.8263697028946,519.0660376021875,141162
149,21,831.33045982026,527.85952360178,114610
150,21,838.7994548860312,512.719287352935,95026
151,21,851.3487658716682,500.5403214320928,91279
152,21,834.6663460526909,493.19647124242925,66539
153,21,821.4142075458172,476.09282932307474,41851
154,21,803.9525232987515,452.4938456128011,11374
155,21,809.7266255687656,447.45398502862173,13626
159,22,974.0415617128464,418.20780856423175,7146
160,22,972.3868886118648,393.30827894698245,13637
161,22,972.8801687128116,407.0808917677186,13277
162,23,270.7835136245379,196.54548359121821,21909
162,22,987.9981641751901,427.20928402832413,7626
163,24,216.70012258657678,94.01777505363162,6526
163,23,304.77396815079624,297.6769580760481,6154
164,24,225.89295272078502,76.10035682426405,4484
164,23,294.38886536833195,293.133149872989,4724
165,25,969.9286080273271,631.1052092228864,17565
